,color,f_interval,f_proportion,left,name,proportion,right
0,#c5b0d5,-120 to -115 minutes,0.00000,-120.0,AirTran Airways Corporation,0.0,-115.0
1,#c5b0d5,-115 to -110 minutes,0.00000,-115.0,AirTran Airways Corporation,0.0,-110.0
2,#c5b0d5,-110 to -105 minutes,0.00000,-110.0,AirTran Airways Corporation,0.0,-105.0
3,#c5b0d5,-105 to -100 minutes,0.00000,-105.0,AirTran Airways Corporation,0.0,-100.0
4,#c5b0d5,-100 to -95 minutes,0.00000,-100.0,AirTran Airways Corporation,0.0,-95.0
5,#c5b0d5,-95 to -90 minutes,0.00000,-95.0,AirTran Airways Corporation,0.0,-90.0
6,#c5b0d5,-90 to -85 minutes,0.00000,-90.0,AirTran Airways Corporation,0.0,-85.0
7,#c5b0d5,-85 to -80 minutes,0.00000,-85.0,AirTran Airways Corporation,0.0,-80.0
8,#c5b0d5,-80 to -75 minutes,0.00000,-80.0,AirTran Airways Corporation,0.0,-75.0
9,#c5b0d5,-75 to -70 minutes,0.00000,-75.0,AirTran Airways Corporation,0.0,-70.0
10,#c5b0d5,-70 to -65 minutes,0.00000,-70.0,AirTran Airways Corporation,0.0,-65.0
11,#c5b0d5,-65 to -60 minutes,0.00000,-65.0,AirTran Airways Corporation,0.0,-60.0
12,#c5b0d5,-60 to -55 minutes,0.00000,-60.0,AirTran Airways Corporation,0.0,-55.0
13,#c5b0d5,-55 to -50 minutes,0.00000,-55.0,AirTran Airways Corporation,0.0,-50.0
14,#c5b0d5,-50 to -45 minutes,0.00000,-50.0,AirTran Airways Corporation,0.0,-45.0
15,#c5b0d5,-45 to -40 minutes,0.00166,-45.0,AirTran Airways Corporation,0.0016550810989738498,-40.0
16,#c5b0d5,-40 to -35 minutes,0.00166,-40.0,AirTran Airways Corporation,0.0016550810989738498,-35.0
17,#c5b0d5,-35 to -30 minutes,0.00497,-35.0,AirTran Airways Corporation,0.004965243296921549,-30.0
18,#c5b0d5,-30 to -25 minutes,0.01589,-30.0,AirTran Airways Corporation,0.015888778550148957,-25.0
19,#c5b0d5,-25 to -20 minutes,0.03178,-25.0,AirTran Airways Corporation,0.031777557100297914,-20.0
20,#c5b0d5,-20 to -15 minutes,0.05627,-20.0,AirTran Airways Corporation,0.05627275736511089,-15.0
21,#c5b0d5,-15 to -10 minutes,0.08375,-15.0,AirTran Airways Corporation,0.0837471036080768,-10.0
22,#c5b0d5,-10 to -5 minutes,0.09732,-10.0,AirTran Airways Corporation,0.09731876861966236,-5.0
23,#c5b0d5,-5 to 0 minutes,0.10758,-5.0,AirTran Airways Corporation,0.10758027143330023,0.0
24,#c5b0d5,0 to 5 minutes,0.11255,0.0,AirTran Airways Corporation,0.11254551473022179,5.0
25,#c5b0d5,5 to 10 minutes,0.09004,5.0,AirTran Airways Corporation,0.09003641178417743,10.0
26,#c5b0d5,10 to 15 minutes,0.08342,10.0,AirTran Airways Corporation,0.08341608738828203,15.0
27,#c5b0d5,15 to 20 minutes,0.05727,15.0,AirTran Airways Corporation,0.0572658060244952,20.0
28,#c5b0d5,20 to 25 minutes,0.04535,20.0,AirTran Airways Corporation,0.04534922211188348,25.0
29,#c5b0d5,25 to 30 minutes,0.03443,25.0,AirTran Airways Corporation,0.034425686858656074,30.0
30,#c5b0d5,30 to 35 minutes,0.02582,30.0,AirTran Airways Corporation,0.025819265143992055,35.0
31,#c5b0d5,35 to 40 minutes,0.01986,35.0,AirTran Airways Corporation,0.019860973187686197,40.0
32,#c5b0d5,40 to 45 minutes,0.01887,40.0,AirTran Airways Corporation,0.018867924528301886,45.0
33,#c5b0d5,45 to 50 minutes,0.01423,45.0,AirTran Airways Corporation,0.014233697451175108,50.0
34,#c5b0d5,50 to 55 minutes,0.01291,50.0,AirTran Airways Corporation,0.012909632571996028,55.0
35,#c5b0d5,55 to 60 minutes,0.01390,55.0,AirTran Airways Corporation,0.013902681231380337,60.0
36,#c5b0d5,60 to 65 minutes,0.00828,60.0,AirTran Airways Corporation,0.00827540549486925,65.0
37,#c5b0d5,65 to 70 minutes,0.00794,65.0,AirTran Airways Corporation,0.007944389275074478,70.0
38,#c5b0d5,70 to 75 minutes,0.00794,70.0,AirTran Airways Corporation,0.007944389275074478,75.0
39,#c5b0d5,75 to 80 minutes,0.00761,75.0,AirTran Airways Corporation,0.007613373055279708,80.0
40,#c5b0d5,80 to 85 minutes,0.00629,80.0,AirTran Airways Corporation,0.006289308176100629,85.0
41,#c5b0d5,85 to 90 minutes,0.00497,85.0,AirTran Airways Corporation,0.004965243296921549,90.0
42,#c5b0d5,90 to 95 minutes,0.00761,90.0,AirTran Airways Corporation,0.007613373055279708,95.0
43,#c5b0d5,95 to 100 minutes,0.00265,95.0,AirTran Airways Corporation,0.0026481297583581596,100.0
44,#c5b0d5,100 to 105 minutes,0.00397,100.0,AirTran Airways Corporation,0.003972194637537239,105.0
45,#c5b0d5,105 to 110 minutes,0.00331,105.0,AirTran Airways Corporation,0.0033101621979476996,110.0
46,#c5b0d5,110 to 115 minutes,0.00463,110.0,AirTran Airways Corporation,0.004634227077126779,115.0
47,#c5b0d5,115 to 120 minutes,0.00530,115.0,AirTran Airways Corporation,0.005296259516716319,120.0
0,#8c564b,-120 to -115 minutes,0.00000,-120.0,Alaska Airlines Inc.,0.0,-115.0
1,#8c564b,-115 to -110 minutes,0.00000,-115.0,Alaska Airlines Inc.,0.0,-110.0
2,#8c564b,-110 to -105 minutes,0.00000,-110.0,Alaska Airlines Inc.,0.0,-105.0
3,#8c564b,-105 to -100 minutes,0.00000,-105.0,Alaska Airlines Inc.,0.0,-100.0
4,#8c564b,-100 to -95 minutes,0.00000,-100.0,Alaska Airlines Inc.,0.0,-95.0
5,#8c564b,-95 to -90 minutes,0.00000,-95.0,Alaska Airlines Inc.,0.0,-90.0
6,#8c564b,-90 to -85 minutes,0.00000,-90.0,Alaska Airlines Inc.,0.0,-85.0
7,#8c564b,-85 to -80 minutes,0.00000,-85.0,Alaska Airlines Inc.,0.0,-80.0
8,#8c564b,-80 to -75 minutes,0.00000,-80.0,Alaska Airlines Inc.,0.0,-75.0
9,#8c564b,-75 to -70 minutes,0.00143,-75.0,Alaska Airlines Inc.,0.0014326647564469914,-70.0
10,#8c564b,-70 to -65 minutes,0.00143,-70.0,Alaska Airlines Inc.,0.0014326647564469914,-65.0
11,#8c564b,-65 to -60 minutes,0.01003,-65.0,Alaska Airlines Inc.,0.01002865329512894,-60.0
12,#8c564b,-60 to -55 minutes,0.00573,-60.0,Alaska Airlines Inc.,0.0057306590257879654,-55.0
13,#8c564b,-55 to -50 minutes,0.02436,-55.0,Alaska Airlines Inc.,0.024355300859598854,-50.0
14,#8c564b,-50 to -45 minutes,0.03295,-50.0,Alaska Airlines Inc.,0.0329512893982808,-45.0
15,#8c564b,-45 to -40 minutes,0.05731,-45.0,Alaska Airlines Inc.,0.05730659025787966,-40.0
16,#8c564b,-40 to -35 minutes,0.07020,-40.0,Alaska Airlines Inc.,0.07020057306590258,-35.0
17,#8c564b,-35 to -30 minutes,0.07736,-35.0,Alaska Airlines Inc.,0.07736389684813753,-30.0
18,#8c564b,-30 to -25 minutes,0.08453,-30.0,Alaska Airlines Inc.,0.08452722063037249,-25.0
19,#8c564b,-25 to -20 minutes,0.09312,-25.0,Alaska Airlines Inc.,0.09312320916905444,-20.0
20,#8c564b,-20 to -15 minutes,0.08309,-20.0,Alaska Airlines Inc.,0.0830945558739255,-15.0
21,#8c564b,-15 to -10 minutes,0.08023,-15.0,Alaska Airlines Inc.,0.08022922636103152,-10.0
22,#8c564b,-10 to -5 minutes,0.07020,-10.0,Alaska Airlines Inc.,0.07020057306590258,-5.0
23,#8c564b,-5 to 0 minutes,0.04155,-5.0,Alaska Airlines Inc.,0.04154727793696275,0.0
24,#8c564b,0 to 5 minutes,0.05444,0.0,Alaska Airlines Inc.,0.054441260744985676,5.0
25,#8c564b,5 to 10 minutes,0.03438,5.0,Alaska Airlines Inc.,0.034383954154727794,10.0
26,#8c564b,10 to 15 minutes,0.04441,10.0,Alaska Airlines Inc.,0.044412607449856735,15.0
27,#8c564b,15 to 20 minutes,0.02579,15.0,Alaska Airlines Inc.,0.025787965616045846,20.0
28,#8c564b,20 to 25 minutes,0.01576,20.0,Alaska Airlines Inc.,0.015759312320916905,25.0
29,#8c564b,25 to 30 minutes,0.01289,25.0,Alaska Airlines Inc.,0.012893982808022923,30.0
30,#8c564b,30 to 35 minutes,0.01146,30.0,Alaska Airlines Inc.,0.011461318051575931,35.0
31,#8c564b,35 to 40 minutes,0.00860,35.0,Alaska Airlines Inc.,0.008595988538681949,40.0
32,#8c564b,40 to 45 minutes,0.01003,40.0,Alaska Airlines Inc.,0.01002865329512894,45.0
33,#8c564b,45 to 50 minutes,0.01003,45.0,Alaska Airlines Inc.,0.01002865329512894,50.0
34,#8c564b,50 to 55 minutes,0.00287,50.0,Alaska Airlines Inc.,0.0028653295128939827,55.0
35,#8c564b,55 to 60 minutes,0.00430,55.0,Alaska Airlines Inc.,0.004297994269340974,60.0
36,#8c564b,60 to 65 minutes,0.00287,60.0,Alaska Airlines Inc.,0.0028653295128939827,65.0
37,#8c564b,65 to 70 minutes,0.00430,65.0,Alaska Airlines Inc.,0.004297994269340974,70.0
38,#8c564b,70 to 75 minutes,0.00000,70.0,Alaska Airlines Inc.,0.0,75.0
39,#8c564b,75 to 80 minutes,0.00143,75.0,Alaska Airlines Inc.,0.0014326647564469914,80.0
40,#8c564b,80 to 85 minutes,0.00000,80.0,Alaska Airlines Inc.,0.0,85.0
41,#8c564b,85 to 90 minutes,0.00430,85.0,Alaska Airlines Inc.,0.004297994269340974,90.0
42,#8c564b,90 to 95 minutes,0.00573,90.0,Alaska Airlines Inc.,0.0057306590257879654,95.0
43,#8c564b,95 to 100 minutes,0.00143,95.0,Alaska Airlines Inc.,0.0014326647564469914,100.0
44,#8c564b,100 to 105 minutes,0.00430,100.0,Alaska Airlines Inc.,0.004297994269340974,105.0
45,#8c564b,105 to 110 minutes,0.00143,105.0,Alaska Airlines Inc.,0.0014326647564469914,110.0
46,#8c564b,110 to 115 minutes,0.00143,110.0,Alaska Airlines Inc.,0.0014326647564469914,115.0
47,#8c564b,115 to 120 minutes,0.00430,115.0,Alaska Airlines Inc.,0.004297994269340974,120.0
0,#aec7e8,-120 to -115 minutes,0.00000,-120.0,American Airlines Inc.,0.0,-115.0
1,#aec7e8,-115 to -110 minutes,0.00000,-115.0,American Airlines Inc.,0.0,-110.0
2,#aec7e8,-110 to -105 minutes,0.00000,-110.0,American Airlines Inc.,0.0,-105.0
3,#aec7e8,-105 to -100 minutes,0.00000,-105.0,American Airlines Inc.,0.0,-100.0
4,#aec7e8,-100 to -95 minutes,0.00000,-100.0,American Airlines Inc.,0.0,-95.0
5,#aec7e8,-95 to -90 minutes,0.00000,-95.0,American Airlines Inc.,0.0,-90.0
6,#aec7e8,-90 to -85 minutes,0.00000,-90.0,American Airlines Inc.,0.0,-85.0
7,#aec7e8,-85 to -80 minutes,0.00000,-85.0,American Airlines Inc.,0.0,-80.0
8,#aec7e8,-80 to -75 minutes,0.00000,-80.0,American Airlines Inc.,0.0,-75.0
9,#aec7e8,-75 to -70 minutes,0.00003,-75.0,American Airlines Inc.,3.2031775521317146e-05,-70.0
10,#aec7e8,-70 to -65 minutes,0.00013,-70.0,American Airlines Inc.,0.00012812710208526858,-65.0
11,#aec7e8,-65 to -60 minutes,0.00054,-65.0,American Airlines Inc.,0.0005445401838623915,-60.0
12,#aec7e8,-60 to -55 minutes,0.00167,-60.0,American Airlines Inc.,0.0016656523271084917,-55.0
13,#aec7e8,-55 to -50 minutes,0.00388,-55.0,American Airlines Inc.,0.003875844838079375,-50.0
14,#aec7e8,-50 to -45 minutes,0.00903,-50.0,American Airlines Inc.,0.009032960697011436,-45.0
15,#aec7e8,-45 to -40 minutes,0.01858,-45.0,American Airlines Inc.,0.018578429802363947,-40.0
16,#aec7e8,-40 to -35 minutes,0.03251,-40.0,American Airlines Inc.,0.0325122521541369,-35.0
17,#aec7e8,-35 to -30 minutes,0.04930,-35.0,American Airlines Inc.,0.04929690252730709,-30.0
18,#aec7e8,-30 to -25 minutes,0.06736,-30.0,American Airlines Inc.,0.06736282392132996,-25.0
19,#aec7e8,-25 to -20 minutes,0.09248,-25.0,American Airlines Inc.,0.0924757359300426,-20.0
20,#aec7e8,-20 to -15 minutes,0.10587,-20.0,American Airlines Inc.,0.10586501809795316,-15.0
21,#aec7e8,-15 to -10 minutes,0.10731,-15.0,American Airlines Inc.,0.10730644799641244,-10.0
22,#aec7e8,-10 to -5 minutes,0.09488,-10.0,American Airlines Inc.,0.09487811909414139,-5.0
23,#aec7e8,-5 to 0 minutes,0.08171,-5.0,American Airlines Inc.,0.08171305935488005,0.0
24,#aec7e8,0 to 5 minutes,0.06586,0.0,American Airlines Inc.,0.06585733047182805,5.0
25,#aec7e8,5 to 10 minutes,0.05317,5.0,American Airlines Inc.,0.053172747365386464,10.0
26,#aec7e8,10 to 15 minutes,0.04033,10.0,American Airlines Inc.,0.04032800538133829,15.0
27,#aec7e8,15 to 20 minutes,0.02896,15.0,American Airlines Inc.,0.0289567250712707,20.0
28,#aec7e8,20 to 25 minutes,0.02351,20.0,American Airlines Inc.,0.023511323232646784,25.0
29,#aec7e8,25 to 30 minutes,0.02047,25.0,American Airlines Inc.,0.020468304558121656,30.0
30,#aec7e8,30 to 35 minutes,0.01457,30.0,American Airlines Inc.,0.014574457862199302,35.0
31,#aec7e8,35 to 40 minutes,0.01150,35.0,American Airlines Inc.,0.011499407412152855,40.0
32,#aec7e8,40 to 45 minutes,0.00983,40.0,American Airlines Inc.,0.009833755085044363,45.0
33,#aec7e8,45 to 50 minutes,0.00801,45.0,American Airlines Inc.,0.008007943880329287,50.0
34,#aec7e8,50 to 55 minutes,0.00746,50.0,American Airlines Inc.,0.007463403696466895,55.0
35,#aec7e8,55 to 60 minutes,0.00660,55.0,American Airlines Inc.,0.006598545757391332,60.0
36,#aec7e8,60 to 65 minutes,0.00609,60.0,American Airlines Inc.,0.006086037349050258,65.0
37,#aec7e8,65 to 70 minutes,0.00538,65.0,American Airlines Inc.,0.00538133828758128,70.0
38,#aec7e8,70 to 75 minutes,0.00458,70.0,American Airlines Inc.,0.004580543899548352,75.0
39,#aec7e8,75 to 80 minutes,0.00452,75.0,American Airlines Inc.,0.004516480348505718,80.0
40,#aec7e8,80 to 85 minutes,0.00368,80.0,American Airlines Inc.,0.003683654184951472,85.0
41,#aec7e8,85 to 90 minutes,0.00324,85.0,American Airlines Inc.,0.0032352093276530316,90.0
42,#aec7e8,90 to 95 minutes,0.00282,90.0,American Airlines Inc.,0.0028187962458759088,95.0
43,#aec7e8,95 to 100 minutes,0.00346,95.0,American Airlines Inc.,0.003459431756302252,100.0
44,#aec7e8,100 to 105 minutes,0.00279,100.0,American Airlines Inc.,0.002786764470354592,105.0
45,#aec7e8,105 to 110 minutes,0.00301,105.0,American Airlines Inc.,0.0030109868990038117,110.0
46,#aec7e8,110 to 115 minutes,0.00259,110.0,American Airlines Inc.,0.002594573817226689,115.0
47,#aec7e8,115 to 120 minutes,0.00231,115.0,American Airlines Inc.,0.0023062878375348346,120.0
0,#ffbb78,-120 to -115 minutes,0.00000,-120.0,Delta Air Lines Inc.,0.0,-115.0
1,#ffbb78,-115 to -110 minutes,0.00000,-115.0,Delta Air Lines Inc.,0.0,-110.0
2,#ffbb78,-110 to -105 minutes,0.00000,-110.0,Delta Air Lines Inc.,0.0,-105.0
3,#ffbb78,-105 to -100 minutes,0.00000,-105.0,Delta Air Lines Inc.,0.0,-100.0
4,#ffbb78,-100 to -95 minutes,0.00000,-100.0,Delta Air Lines Inc.,0.0,-95.0
5,#ffbb78,-95 to -90 minutes,0.00000,-95.0,Delta Air Lines Inc.,0.0,-90.0
6,#ffbb78,-90 to -85 minutes,0.00000,-90.0,Delta Air Lines Inc.,0.0,-85.0
7,#ffbb78,-85 to -80 minutes,0.00000,-85.0,Delta Air Lines Inc.,0.0,-80.0
8,#ffbb78,-80 to -75 minutes,0.00000,-80.0,Delta Air Lines Inc.,0.0,-75.0
9,#ffbb78,-75 to -70 minutes,0.00002,-75.0,Delta Air Lines Inc.,2.1497979189956143e-05,-70.0
10,#ffbb78,-70 to -65 minutes,0.00028,-70.0,Delta Air Lines Inc.,0.0002794737294694299,-65.0
11,#ffbb78,-65 to -60 minutes,0.00073,-65.0,Delta Air Lines Inc.,0.0007309312924585089,-60.0
12,#ffbb78,-60 to -55 minutes,0.00138,-60.0,Delta Air Lines Inc.,0.0013758706681571932,-55.0
13,#ffbb78,-55 to -50 minutes,0.00303,-55.0,Delta Air Lines Inc.,0.003031215065783816,-50.0
14,#ffbb78,-50 to -45 minutes,0.00619,-50.0,Delta Air Lines Inc.,0.00619141800670737,-45.0
15,#ffbb78,-45 to -40 minutes,0.01202,-45.0,Delta Air Lines Inc.,0.012017370367185485,-40.0
16,#ffbb78,-40 to -35 minutes,0.02330,-40.0,Delta Air Lines Inc.,0.02330380944191246,-35.0
17,#ffbb78,-35 to -30 minutes,0.04044,-35.0,Delta Air Lines Inc.,0.040437698856307505,-30.0
18,#ffbb78,-30 to -25 minutes,0.06305,-30.0,Delta Air Lines Inc.,0.06305357296414137,-25.0
19,#ffbb78,-25 to -20 minutes,0.08840,-25.0,Delta Air Lines Inc.,0.08839969042909966,-20.0
20,#ffbb78,-20 to -15 minutes,0.10770,-20.0,Delta Air Lines Inc.,0.10770487574168028,-15.0
21,#ffbb78,-15 to -10 minutes,0.11209,-15.0,Delta Air Lines Inc.,0.11209046349643134,-10.0
22,#ffbb78,-10 to -5 minutes,0.10743,-10.0,Delta Air Lines Inc.,0.10742540201221085,-5.0
23,#ffbb78,-5 to 0 minutes,0.08883,-5.0,Delta Air Lines Inc.,0.08882965001289879,0.0
24,#ffbb78,0 to 5 minutes,0.07496,0.0,Delta Air Lines Inc.,0.07496345343537708,5.0
25,#ffbb78,5 to 10 minutes,0.05682,5.0,Delta Air Lines Inc.,0.05681915899905409,10.0
26,#ffbb78,10 to 15 minutes,0.04358,10.0,Delta Air Lines Inc.,0.04357640381804111,15.0
27,#ffbb78,15 to 20 minutes,0.03242,15.0,Delta Air Lines Inc.,0.032418952618453865,20.0
28,#ffbb78,20 to 25 minutes,0.02309,20.0,Delta Air Lines Inc.,0.0230888296500129,25.0
29,#ffbb78,25 to 30 minutes,0.01690,25.0,Delta Air Lines Inc.,0.016897411643305528,30.0
30,#ffbb78,30 to 35 minutes,0.01447,30.0,Delta Air Lines Inc.,0.014468139994840486,35.0
31,#ffbb78,35 to 40 minutes,0.01139,35.0,Delta Air Lines Inc.,0.011393928970676757,40.0
32,#ffbb78,40 to 45 minutes,0.00931,40.0,Delta Air Lines Inc.,0.00930862498925101,45.0
33,#ffbb78,45 to 50 minutes,0.00884,45.0,Delta Air Lines Inc.,0.008835669447071976,50.0
34,#ffbb78,50 to 55 minutes,0.00703,50.0,Delta Air Lines Inc.,0.007029839195115659,55.0
35,#ffbb78,55 to 60 minutes,0.00686,55.0,Delta Air Lines Inc.,0.00685785536159601,60.0
36,#ffbb78,60 to 65 minutes,0.00494,60.0,Delta Air Lines Inc.,0.004944535213689913,65.0
37,#ffbb78,65 to 70 minutes,0.00503,65.0,Delta Air Lines Inc.,0.005030527130449738,70.0
38,#ffbb78,70 to 75 minutes,0.00441,70.0,Delta Air Lines Inc.,0.004407085733941009,75.0
